symbol,explanation,explanation_pt
AAPL ,"AAPL  @ $338.98 BUY signal: 100.0% vs 75.0% threshold (margin: +25.0pts). Conviction: 4.7/10 (Moderate) - Model agreement: 100%, uncertainty: 1.45σ, stable ensemble. Top contributors: LSTM 10 (25.1%), LSTM Cla (24.7%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 1.45 uncertainty. Regime-adjusted expected return: +1.9% over 10 days (regime penalty: 70%, vol penalty: 86%). Signal half-life: 3.2 days, optimal holding: 5 days, persistence probability: 53%. Market regime: sideways (trend: 0.08, vol: 0.22) - challenging conditions for this signal type.","AAPL  @ $338.98 sinal COMPRA: 100.0% vs limiar 75.0% (margem: +25.0pts). Convicção: 4.7/10 (Moderado) - Consenso modelos: 100%, incerteza: 1.45σ, ensemble estável. Principais contribuintes: LSTM 10 (25.1%), LSTM Cla (24.7%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 1.45. Retorno esperado ajustado: +1.9% em 10 dias (penalidade regime: 70%, vol: 86%). Meia-vida sinal: 3.2 dias, holding ótimo: 5 dias, probabilidade persistência: 53%. Regime mercado: lateral (tendência: 0.08, vol: 0.22) - condições desafiadoras para este tipo de sinal."
ABEV ,"ABEV  @ $2.98 shows an unclear signal with both BUY (49.0%, needs 40.0pts) and SELL (10.0%, needs 18.0pts) below thresholds. Conviction: 2.1/10 (Weak) - Model agreement: 51%, uncertainty: 1.40σ, moderate ensemble. Top contributors: LSTM 10 (37.8%), TD3 (19.6%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 1.40 uncertainty. Regime-adjusted expected return: +2.4% over 10 days (regime penalty: 80%, vol penalty: 92%). Signal half-life: 3.1 days, optimal holding: 5 days, persistence probability: 48%. Market regime: sideways (trend: 0.02, vol: 0.19) - favorable conditions for this signal type.","ABEV  @ $2.98 sinal incerto: COMPRA (49.0%, precisa 40.0pts) e VENDA (10.0%, precisa 18.0pts) abaixo dos limiares. Convicção: 2.1/10 (Fraco) - Consenso modelos: 51%, incerteza: 1.40σ, ensemble moderado. Principais contribuintes: LSTM 10 (37.8%), TD3 (19.6%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 1.40. Retorno esperado ajustado: +2.4% em 10 dias (penalidade regime: 80%, vol: 92%). Meia-vida sinal: 3.1 dias, holding ótimo: 5 dias, probabilidade persistência: 48%. Regime mercado: lateral (tendência: 0.02, vol: 0.19) - condições favoráveis para este tipo de sinal."
ABEV3,"ABEV3 @ $15.50 BUY signal: 64.0% vs 47.0% threshold (margin: +17.0pts). Conviction: 3.4/10 (Weak) - Model agreement: 79%, uncertainty: 3.39σ, moderate ensemble. Top contributors: PPO (39.5%), SAC (13.7%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 3.39 uncertainty. Regime-adjusted expected return: +2.1% over 10 days (regime penalty: 70%, vol penalty: 94%). Signal half-life: 2.6 days, optimal holding: 4 days, persistence probability: 40%. Market regime: sideways (trend: 0.02, vol: 0.18) - challenging conditions for this signal type.","ABEV3 @ $15.50 sinal COMPRA: 64.0% vs limiar 47.0% (margem: +17.0pts). Convicção: 3.4/10 (Fraco) - Consenso modelos: 79%, incerteza: 3.39σ, ensemble moderado. Principais contribuintes: PPO (39.5%), SAC (13.7%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 3.39. Retorno esperado ajustado: +2.1% em 10 dias (penalidade regime: 70%, vol: 94%). Meia-vida sinal: 2.6 dias, holding ótimo: 4 dias, probabilidade persistência: 40%. Regime mercado: lateral (tendência: 0.02, vol: 0.18) - condições desafiadoras para este tipo de sinal."
AEP  ,"AEP   @ $120.03 BUY signal: 76.0% vs 24.0% threshold (margin: +52.0pts). Conviction: 6.2/10 (Moderate) - Model agreement: 100%, uncertainty: 3.99σ, stable ensemble. Top contributors: LSTM SR (23.6%), LSTM (22.1%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 3.99 uncertainty. Regime-adjusted expected return: +2.2% over 10 days (regime penalty: 70%, vol penalty: 100%). Signal half-life: 3.5 days, optimal holding: 5 days, persistence probability: 48%. Market regime: sideways (trend: 0.01, vol: 0.11) - challenging conditions for this signal type.","AEP   @ $120.03 sinal COMPRA: 76.0% vs limiar 24.0% (margem: +52.0pts). Convicção: 6.2/10 (Moderado) - Consenso modelos: 100%, incerteza: 3.99σ, ensemble estável. Principais contribuintes: LSTM SR (23.6%), LSTM (22.1%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 3.99. Retorno esperado ajustado: +2.2% em 10 dias (penalidade regime: 70%, vol: 100%). Meia-vida sinal: 3.5 dias, holding ótimo: 5 dias, probabilidade persistência: 48%. Regime mercado: lateral (tendência: 0.01, vol: 0.11) - condições desafiadoras para este tipo de sinal."
AGRO3,"AGRO3 @ $18.25 shows an unclear signal with both BUY (15.0%, needs 36.0pts) and SELL (29.0%, needs 12.0pts) below thresholds. Conviction: 1.7/10 (Weak) - Model agreement: 21%, uncertainty: 21.64σ, moderate ensemble. Top contributors: PPO (40.1%), TD3 (31.0%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 21.64 uncertainty. Regime-adjusted expected return: +2.4% over 10 days (regime penalty: 80%, vol penalty: 92%). Signal half-life: 2.5 days, optimal holding: 4 days, persistence probability: 40%. Market regime: sideways (trend: 0.03, vol: 0.19) - favorable conditions for this signal type.","AGRO3 @ $18.25 sinal incerto: COMPRA (15.0%, precisa 36.0pts) e VENDA (29.0%, precisa 12.0pts) abaixo dos limiares. Convicção: 1.7/10 (Fraco) - Consenso modelos: 21%, incerteza: 21.64σ, ensemble moderado. Principais contribuintes: PPO (40.1%), TD3 (31.0%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 21.64. Retorno esperado ajustado: +2.4% em 10 dias (penalidade regime: 80%, vol: 92%). Meia-vida sinal: 2.5 dias, holding ótimo: 4 dias, probabilidade persistência: 40%. Regime mercado: lateral (tendência: 0.03, vol: 0.19) - condições favoráveis para este tipo de sinal."
ALUP1,"ALUP1 @ $32.70 BUY signal: 88.0% vs 29.0% threshold (margin: +59.0pts). Conviction: 6.2/10 (Moderate) - Model agreement: 100%, uncertainty: 1.00σ, stable ensemble. Top contributors: TD3 (23.6%), PPO (20.5%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 1.00 uncertainty. Regime-adjusted expected return: +2.1% over 10 days (regime penalty: 70%, vol penalty: 94%). Signal half-life: 6.2 days, optimal holding: 9 days, persistence probability: 95%. Market regime: sideways (trend: 0.02, vol: 0.18) - challenging conditions for this signal type.","ALUP1 @ $32.70 sinal COMPRA: 88.0% vs limiar 29.0% (margem: +59.0pts). Convicção: 6.2/10 (Moderado) - Consenso modelos: 100%, incerteza: 1.00σ, ensemble estável. Principais contribuintes: TD3 (23.6%), PPO (20.5%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 1.00. Retorno esperado ajustado: +2.1% em 10 dias (penalidade regime: 70%, vol: 94%). Meia-vida sinal: 6.2 dias, holding ótimo: 9 dias, probabilidade persistência: 95%. Regime mercado: lateral (tendência: 0.02, vol: 0.18) - condições desafiadoras para este tipo de sinal."
ALUP3,"ALUP3 @ $11.37 SELL signal: 41.0% vs 34.0% threshold (margin: +7.0pts). Conviction: 2.7/10 (Weak) - Model agreement: 40%, uncertainty: 2.55σ, stable ensemble. Top contributors: LSTM SR (24.3%), PPO (20.4%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 2.55 uncertainty. Regime-adjusted expected return: +1.8% over 10 days (regime penalty: 70%, vol penalty: 82%). Signal half-life: 2.8 days, optimal holding: 4 days, persistence probability: 48%. Market regime: sideways (trend: 0.02, vol: 0.24) - challenging conditions for this signal type.","ALUP3 @ $11.37 sinal VENDA: 41.0% vs limiar 34.0% (margem: +7.0pts). Convicção: 2.7/10 (Fraco) - Consenso modelos: 40%, incerteza: 2.55σ, ensemble estável. Principais contribuintes: LSTM SR (24.3%), PPO (20.4%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 2.55. Retorno esperado ajustado: +1.8% em 10 dias (penalidade regime: 70%, vol: 82%). Meia-vida sinal: 2.8 dias, holding ótimo: 4 dias, probabilidade persistência: 48%. Regime mercado: lateral (tendência: 0.02, vol: 0.24) - condições desafiadoras para este tipo de sinal."
ALUP4,"ALUP4 @ $10.90 shows an unclear signal with both BUY (52.0%, needs 2.0pts) and SELL (23.0%, needs 36.0pts) below thresholds. Conviction: 3.4/10 (Weak) - Model agreement: 100%, uncertainty: 2.96σ, stable ensemble. Top contributors: LSTM Cla (24.9%), LSTM 10 (23.1%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 2.96 uncertainty. Regime-adjusted expected return: +2.1% over 10 days (regime penalty: 80%, vol penalty: 82%). Signal half-life: 2.8 days, optimal holding: 4 days, persistence probability: 48%. Market regime: sideways (trend: 0.04, vol: 0.24) - favorable conditions for this signal type.","ALUP4 @ $10.90 sinal incerto: COMPRA (52.0%, precisa 2.0pts) e VENDA (23.0%, precisa 36.0pts) abaixo dos limiares. Convicção: 3.4/10 (Fraco) - Consenso modelos: 100%, incerteza: 2.96σ, ensemble estável. Principais contribuintes: LSTM Cla (24.9%), LSTM 10 (23.1%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 2.96. Retorno esperado ajustado: +2.1% em 10 dias (penalidade regime: 80%, vol: 82%). Meia-vida sinal: 2.8 dias, holding ótimo: 4 dias, probabilidade persistência: 48%. Regime mercado: lateral (tendência: 0.04, vol: 0.24) - condições favoráveis para este tipo de sinal."
AMZN ,"AMZN  @ $258.45 BUY signal: 65.0% vs 56.0% threshold (margin: +9.0pts). Conviction: 4.6/10 (Moderate) - Model agreement: 100%, uncertainty: 0.55σ, moderate ensemble. Top contributors: LSTM Cla (55.5%), LSTM (21.3%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 0.55 uncertainty. Regime-adjusted expected return: +1.7% over 10 days (regime penalty: 70%, vol penalty: 76%). Signal half-life: 6.2 days, optimal holding: 9 days, persistence probability: 95%. Market regime: sideways (trend: 0.01, vol: 0.27) - challenging conditions for this signal type.","AMZN  @ $258.45 sinal COMPRA: 65.0% vs limiar 56.0% (margem: +9.0pts). Convicção: 4.6/10 (Moderado) - Consenso modelos: 100%, incerteza: 0.55σ, ensemble moderado. Principais contribuintes: LSTM Cla (55.5%), LSTM (21.3%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 0.55. Retorno esperado ajustado: +1.7% em 10 dias (penalidade regime: 70%, vol: 76%). Meia-vida sinal: 6.2 dias, holding ótimo: 9 dias, probabilidade persistência: 95%. Regime mercado: lateral (tendência: 0.01, vol: 0.27) - condições desafiadoras para este tipo de sinal."
AXP  ,"AXP   @ $313.59 shows an unclear signal with both BUY (18.0%, needs 52.0pts) and SELL (0.0%, needs 39.0pts) below thresholds. Conviction: 3.3/10 (Weak) - Model agreement: 88%, uncertainty: 0.45σ, very_unstable ensemble. Top contributors: LSTM (70.1%), PPO (16.1%). Kelly-optimal position: 0.5% (vs 3% standard), risk-adjusted for 0.45 uncertainty. Regime-adjusted expected return: +2.4% over 10 days (regime penalty: 80%, vol penalty: 92%). Signal half-life: 4.0 days, optimal holding: 6 days, persistence probability: 62%. Market regime: sideways (trend: 0.06, vol: 0.19) - favorable conditions for this signal type.","AXP   @ $313.59 sinal incerto: COMPRA (18.0%, precisa 52.0pts) e VENDA (0.0%, precisa 39.0pts) abaixo dos limiares. Convicção: 3.3/10 (Fraco) - Consenso modelos: 88%, incerteza: 0.45σ, ensemble muito instável. Principais contribuintes: LSTM (70.1%), PPO (16.1%). Posição Kelly-ótima: 0.5% (vs 3% padrão), ajustada para incerteza 0.45. Retorno esperado ajustado: +2.4% em 10 dias (penalidade regime: 80%, vol: 92%). Meia-vida sinal: 4.0 dias, holding ótimo: 6 dias, probabilidade persistência: 62%. Regime mercado: lateral (tendência: 0.06, vol: 0.19) - condições favoráveis para este tipo de sinal."
