Portfolio,Stock,Weight_Pct,Return_Pct,Sharpe_Ratio,Risk_Volatility_Pct,Risk_MaxDrawdown_Pct
High Risk All,BAC,19.35,196.9,2.94,98.3,72.3
High Risk All,HSBC,14.96,277.8,2.43,142.8,98.3
High Risk All,ELET3,12.53,292.7,2.46,49.9,32.6
High Risk All,ELET6,11.47,266.1,2.07,60.8,37.3
High Risk All,NVDA,8.68,362.1,1.75,202.1,99.9
High Risk All,GOOG,7.82,931.7,2.38,306.1,100.0
High Risk All,INTC,7.19,282.3,2.06,99.5,51.4
High Risk All,PRIO3,6.59,263.2,2.83,110.8,59.4
High Risk All,UNIP6,6.48,315.8,2.34,73.5,42.2
High Risk All,UNIP3,4.93,366.9,2.24,79.2,34.8
Medium Risk All,ITUB4,37.66,170.1,2.79,36.4,20.0
Medium Risk All,PSSA3,18.7,235.4,2.72,49.6,36.7
Medium Risk All,ELET3,8.38,292.7,2.46,49.9,32.6
Medium Risk All,ELET6,7.94,266.1,2.07,60.8,37.3
Medium Risk All,BRAP3,6.58,95.1,2.41,26.6,18.7
Medium Risk All,ENEV3,5.01,112.5,2.79,27.5,12.8
Medium Risk All,UNIP6,4.45,315.8,2.34,73.5,42.2
Medium Risk All,PRIO3,4.28,263.2,2.83,110.8,59.4
Medium Risk All,TAEE11,3.6,136.8,2.27,36.1,22.1
Medium Risk All,UNIP3,3.4,366.9,2.24,79.2,34.8
Low Risk All,ITUB4,32.65,170.1,2.79,36.4,20.0
Low Risk All,BRAP3,20.2,95.1,2.41,26.6,18.7
Low Risk All,PSSA3,20.2,235.4,2.72,49.6,36.7
Low Risk All,EBR,6.4,50.8,2.97,16.4,10.1
Low Risk All,CPLE6,6.4,50.1,2.16,18.9,11.2
Low Risk All,ELP,5.17,45.3,1.94,16.0,9.8
Low Risk All,ELET3,3.05,292.7,2.46,49.9,32.6
Low Risk All,CPLE3,2.56,65.3,2.65,17.3,7.5
Low Risk All,ENEV3,1.9,112.5,2.79,27.5,12.8
Low Risk All,TAEE11,1.46,136.8,2.27,36.1,22.1
High Risk Brazilian,ITUB4,30.88,170.1,2.79,36.4,20.0
High Risk Brazilian,PSSA3,20.74,235.4,2.72,49.6,36.7
High Risk Brazilian,ELET3,9.28,292.7,2.46,49.9,32.6
High Risk Brazilian,ELET6,8.72,266.1,2.07,60.8,37.3
High Risk Brazilian,ENEV3,5.68,112.5,2.79,27.5,12.8
