symbol,date,threshold,PPO,SAC,TD3,LST,LS10,LSR,LCl,weights,section
AAPL,2026-07-02,97 (39),0.68( 0.58),0.99( 0.89),1.00( 0.04),0.0039( 0.0001),0.0032( 0.0031),-4.4153( -6.8153),0.47(  0.01),"[0, 0, 17, 36, 39, 3, 4]",All Stocks
AAPL,2026-07-02,97 (39),0.68( 0.58),0.99( 0.89),1.00( 0.04),0.0039( 0.0001),0.0032( 0.0031),-4.4153( -6.8153),0.47(  0.01),"[0, 0, 17, 36, 39, 3, 4]",Stocks to buy
AAPL,2026-07-02,97 (39),0.68( 0.58),0.99( 0.89),1.00( 0.04),0.0039( 0.0001),0.0032( 0.0031),-4.4153( -6.8153),0.47(  0.01),"[0, 0, 17, 36, 39, 3, 4]",STRONG BUY
AAPL,2026-07-02,97 (39),0.68( 0.58),0.99( 0.89),1.00( 0.04),0.0039( 0.0001),0.0032( 0.0031),-4.4153( -6.8153),0.47(  0.01),"[0, 0, 17, 36, 39, 3, 4]",American stocks
AAPL,2026-07-02,97 (39),0.68( 0.58),0.99( 0.89),1.00( 0.04),0.0039( 0.0001),0.0032( 0.0031),-4.4153( -6.8153),0.47(  0.01),"[0, 0, 17, 36, 39, 3, 4]",Technology
AAPL,2026-07-02,97 (39),0.68( 0.58),0.99( 0.89),1.00( 0.04),0.0039( 0.0001),0.0032( 0.0031),-4.4153( -6.8153),0.47(  0.01),"[0, 0, 17, 36, 39, 3, 4]",Consumer Goods
ABEV,2026-07-02,18 (41),-0.85(-0.95),0.96( 0.86),-1.00(-1.70),0.0004(-0.0005),-0.0067(-0.0070),2.8464( -1.1536),0.48(  0.47),"[0, 18, 24, 20, 16, 22, 0]",All Stocks
ABEV,2026-07-02,18 (41),-0.85(-0.95),0.96( 0.86),-1.00(-1.70),0.0004(-0.0005),-0.0067(-0.0070),2.8464( -1.1536),0.48(  0.47),"[0, 18, 24, 20, 16, 22, 0]",Brazilian biggest stocks
ABEV,2026-07-02,18 (41),-0.85(-0.95),0.96( 0.86),-1.00(-1.70),0.0004(-0.0005),-0.0067(-0.0070),2.8464( -1.1536),0.48(  0.47),"[0, 18, 24, 20, 16, 22, 0]",ADRs
ABEV3,2026-07-03,78 (69),0.28( 0.09),-0.92(-1.02),-1.00(-1.93),0.0004(-0.0015),0.0011(-0.0060),4.6734(  1.2734),0.93(  0.92),"[69, 7, 6, 4, 5, 5, 4]",All Stocks
ABEV3,2026-07-03,78 (69),0.28( 0.09),-0.92(-1.02),-1.00(-1.93),0.0004(-0.0015),0.0011(-0.0060),4.6734(  1.2734),0.93(  0.92),"[69, 7, 6, 4, 5, 5, 4]",Stocks to buy
