symbol,date,threshold,PPO,SAC,TD3,LST,LS10,LSR,LCl,weights,section
AAPL,2026-07-09,0 (100),0.67(-0.77),0.99(-1.09),1.00(-1.10),0.0035(-0.0036),0.0061(-0.0080),8.4115(-13.1115),-0.33( -0.01),"[0, 0, 0, 0, 100, 0, 0]",All Stocks
AAPL,2026-07-09,0 (100),0.67(-0.77),0.99(-1.09),1.00(-1.10),0.0035(-0.0036),0.0061(-0.0080),8.4115(-13.1115),-0.33( -0.01),"[0, 0, 0, 0, 100, 0, 0]",American stocks
AAPL,2026-07-09,0 (100),0.67(-0.77),0.99(-1.09),1.00(-1.10),0.0035(-0.0036),0.0061(-0.0080),8.4115(-13.1115),-0.33( -0.01),"[0, 0, 0, 0, 100, 0, 0]",Technology
AAPL,2026-07-09,0 (100),0.67(-0.77),0.99(-1.09),1.00(-1.10),0.0035(-0.0036),0.0061(-0.0080),8.4115(-13.1115),-0.33( -0.01),"[0, 0, 0, 0, 100, 0, 0]",Consumer Goods
ABEV,2026-07-09,7 (28),-0.85(-0.08),0.95(-1.88),-1.00( 0.00),0.0000(-0.0018),0.0013(-0.0097),-3.7174( -2.3826),-0.40( -0.20),"[23, 17, 7, 20, 13, 21, 0]",All Stocks
ABEV,2026-07-09,7 (28),-0.85(-0.08),0.95(-1.88),-1.00( 0.00),0.0000(-0.0018),0.0013(-0.0097),-3.7174( -2.3826),-0.40( -0.20),"[23, 17, 7, 20, 13, 21, 0]",Brazilian biggest stocks
ABEV,2026-07-09,7 (28),-0.85(-0.08),0.95(-1.88),-1.00( 0.00),0.0000(-0.0018),0.0013(-0.0097),-3.7174( -2.3826),-0.40( -0.20),"[23, 17, 7, 20, 13, 21, 0]",ADRs
ABEV3,2026-07-09,11 (37),0.66(-1.54),-0.93(-0.04),-1.00( 0.01),0.0023(-0.0086),0.0023(-0.0132),-5.7762( -0.7238),-0.07( -0.92),"[32, 11, 11, 0, 14, 31, 0]",All Stocks
ABEV3,2026-07-09,11 (37),0.66(-1.54),-0.93(-0.04),-1.00( 0.01),0.0023(-0.0086),0.0023(-0.0132),-5.7762( -0.7238),-0.07( -0.92),"[32, 11, 11, 0, 14, 31, 0]",Brazilian biggest stocks
AEP,2026-07-09,0 (40),0.03(-0.48),0.98(-1.08),-1.00( 0.00),0.0030(-0.0047),0.0130(-0.0145),1.5303( -5.3303),-0.19( -0.13),"[22, 0, 0, 39, 25, 15, 0]",All Stocks
AEP,2026-07-09,0 (40),0.03(-0.48),0.98(-1.08),-1.00( 0.00),0.0030(-0.0047),0.0130(-0.0145),1.5303( -5.3303),-0.19( -0.13),"[22, 0, 0, 39, 25, 15, 0]",Energy
AGRO3,2026-07-09,0 (38),-0.07(-0.14),0.98(-1.08),1.00(-1.99),0.0088(-0.0089),0.0061(-0.0062),7.9802(-15.4802),-0.46( -0.01),"[38, 0, 24, 0, 0, 0, 38]",All Stocks
ALUP1,2026-07-09,1 (71),-0.49(-0.10),0.98(-1.82),-1.00( 0.00),0.0049(-0.0069),0.0118(-0.0126),1.4937( -3.9937),-0.46( -0.03),"[36, 21, 1, 5, 23, 11, 3]",All Stocks
ALUP3,2026-07-09,3 (47),0.10(-0.37),0.60(-0.72),-1.00( 0.23),-0.0121( 0.0006),-0.0138(-0.0000),1.3477( -2.3477),-0.35( -0.05),"[24, 23, 0, 2, 2, 29, 20]",All Stocks
ALUP4,2026-07-09,4 (69),-0.15(-0.53),0.34(-0.78),-1.00( 0.02),0.0028(-0.0031),0.0131(-0.0150),3.9685( -7.8685),-0.45(  0.01),"[33, 29, 2, 2, 30, 2, 2]",All Stocks
AMZN,2026-07-09,0 (0),0.28(-0.38),1.00(-1.10),1.00(-1.10),0.0067(-0.0068),0.0051(-0.0052),7.9177(-14.6177),-0.35( -0.02),"[0, 0, 0, 0, 0, 0, 0]",All Stocks
AMZN,2026-07-09,0 (0),0.28(-0.38),1.00(-1.10),1.00(-1.10),0.0067(-0.0068),0.0051(-0.0052),7.9177(-14.6177),-0.35( -0.02),"[0, 0, 0, 0, 0, 0, 0]",American stocks
AMZN,2026-07-09,0 (0),0.28(-0.38),1.00(-1.10),1.00(-1.10),0.0067(-0.0068),0.0051(-0.0052),7.9177(-14.6177),-0.35( -0.02),"[0, 0, 0, 0, 0, 0, 0]",Consumer Goods
AXP,2026-07-09,0 (47),0.06(-0.33),-0.99( 0.14),1.00(-1.98),0.0032(-0.0037),0.0093(-0.0095),0.6875( -1.6875),-0.16( -0.11),"[47, 0, 13, 40, 0, 0, 0]",All Stocks
AXP,2026-07-09,0 (47),0.06(-0.33),-0.99( 0.14),1.00(-1.98),0.0032(-0.0037),0.0093(-0.0095),0.6875( -1.6875),-0.16( -0.11),"[47, 0, 13, 40, 0, 0, 0]",American stocks
AXP,2026-07-09,0 (47),0.06(-0.33),-0.99( 0.14),1.00(-1.98),0.0032(-0.0037),0.0093(-0.0095),0.6875( -1.6875),-0.16( -0.11),"[47, 0, 13, 40, 0, 0, 0]",Finance
B3SA3,2026-07-09,45 (55),-0.08(-0.02),1.00(-1.10),1.00(-1.10),-0.0044( 0.0017),0.0047(-0.0048),-0.8333( -1.8667),-0.45( -0.03),"[0, 0, 0, 45, 0, 55, 0]",All Stocks
B3SA3,2026-07-09,45 (55),-0.08(-0.02),1.00(-1.10),1.00(-1.10),-0.0044( 0.0017),0.0047(-0.0048),-0.8333( -1.8667),-0.45( -0.03),"[0, 0, 0, 45, 0, 55, 0]",Finance
B3SA3,2026-07-09,45 (55),-0.08(-0.02),1.00(-1.10),1.00(-1.10),-0.0044( 0.0017),0.0047(-0.0048),-0.8333( -1.8667),-0.45( -0.03),"[0, 0, 0, 45, 0, 55, 0]",Brazilian Finance
BAC,2026-07-09,0 (24),-0.08(-0.05),0.91(-1.61),1.00(-1.94),0.0016(-0.0017),0.0039(-0.0041),4.3680(-11.7680),-0.45( -0.02),"[12, 9, 13, 8, 24, 16, 18]",All Stocks
BAC,2026-07-09,0 (24),-0.08(-0.05),0.91(-1.61),1.00(-1.94),0.0016(-0.0017),0.0039(-0.0041),4.3680(-11.7680),-0.45( -0.02),"[12, 9, 13, 8, 24, 16, 18]",American stocks
BAC,2026-07-09,0 (24),-0.08(-0.05),0.91(-1.61),1.00(-1.94),0.0016(-0.0017),0.0039(-0.0041),4.3680(-11.7680),-0.45( -0.02),"[12, 9, 13, 8, 24, 16, 18]",Finance
BBAS3,2026-07-09,9 (62),0.36(-0.46),0.94(-1.04),-0.53(-0.27),0.0021(-0.0046),0.0159(-0.0164),-3.3450( -1.3550),-0.38(  0.03),"[0, 0, 16, 0, 62, 13, 9]",All Stocks
BBAS3,2026-07-09,9 (62),0.36(-0.46),0.94(-1.04),-0.53(-0.27),0.0021(-0.0046),0.0159(-0.0164),-3.3450( -1.3550),-0.38(  0.03),"[0, 0, 16, 0, 62, 13, 9]",Finance
BBAS3,2026-07-09,9 (62),0.36(-0.46),0.94(-1.04),-0.53(-0.27),0.0021(-0.0046),0.0159(-0.0164),-3.3450( -1.3550),-0.38(  0.03),"[0, 0, 16, 0, 62, 13, 9]",Brazilian Finance
BBD,2026-07-09,0 (30),0.30(-0.40),0.96(-1.06),1.00(-1.10),0.0045(-0.0048),-0.0024(-0.0013),4.3010(-12.5010),-0.15( -0.60),"[0, 0, 0, 23, 29, 26, 21]",All Stocks
BBD,2026-07-09,0 (30),0.30(-0.40),0.96(-1.06),1.00(-1.10),0.0045(-0.0048),-0.0024(-0.0013),4.3010(-12.5010),-0.15( -0.60),"[0, 0, 0, 23, 29, 26, 21]",ADRs
BBD,2026-07-09,0 (30),0.30(-0.40),0.96(-1.06),1.00(-1.10),0.0045(-0.0048),-0.0024(-0.0013),4.3010(-12.5010),-0.15( -0.60),"[0, 0, 0, 23, 29, 26, 21]",Finance
BBD,2026-07-09,0 (30),0.30(-0.40),0.96(-1.06),1.00(-1.10),0.0045(-0.0048),-0.0024(-0.0013),4.3010(-12.5010),-0.15( -0.60),"[0, 0, 0, 23, 29, 26, 21]",Brazilian Finance
BBDC3,2026-07-09,17 (83),-0.93( 0.12),-0.84(-0.11),-0.99(-0.01),-0.0019(-0.0001),-0.0060(-0.0001),0.6593( -1.6593),-0.24( -0.01),"[17, 83, 0, 0, 0, 0, 0]",All Stocks
BBDC3,2026-07-09,17 (83),-0.93( 0.12),-0.84(-0.11),-0.99(-0.01),-0.0019(-0.0001),-0.0060(-0.0001),0.6593( -1.6593),-0.24( -0.01),"[17, 83, 0, 0, 0, 0, 0]",Finance
